MaxT,MinT,WindSpeed,Humidity ,Precipitation
34.8,26.2,2.1,73.3,9.3
31.7,26.5,2.7,70.3,14.0
32.1,25.6,4.1,70.4,0.0
32.5,23.9,3.2,77.3,0.0
32.7,25.4,1.3,82.4,0.0
33.2,26.1,1.2,77.4,0.0
33.9,26.5,1.7,76.7,0.0
34.9,27.0,2.8,79.5,0.0
35.6,27.3,2.2,74.9,0.0
35.6,26.6,1.8,75.9,0.0
35.0,27.1,2.1,68.3,0.0
35.1,26.4,1.7,73.0,0.0
35.0,26.1,1.6,72.2,0.0
34.9,26.4,1.3,73.4,0.0
35.1,26.4,1.8,67.8,8.9
34.3,26.4,1.6,71.7,0.0
34.2,25.9,1.6,70.5,0.0
34.1,25.7,1.9,71.6,0.0
34.1,25.5,1.9,71.9,0.0
33.9,25.7,1.6,65.4,0.0
32.2,25.3,2.1,74.3,0.0
34.0,24.1,1.5,79.3,0.0
33.5,25.0,2.0,73.0,0.0
33.6,24.5,1.3,70.8,0.0
33.2,24.8,2.0,79.4,0.0
33.3,24.9,1.2,80.5,0.0
32.7,24.9,2.0,80.6,0.0
32.2,24.5,2.0,67.5,0.0
31.2,23.9,1.6,73.2,19.2
30.6,23.7,2.1,83.7,38.3
26.6,23.7,2.2,72.8,46.8
24.9,23.4,2.2,80.6,57.4
26.2,23.5,2.2,81.8,85.1
26.4,23.4,2.1,82.6,19.2
26.9,24.2,1.5,85.8,0.0
28.1,24.0,2.0,88.4,35.4
29.2,24.7,0.9,69.1,22.6
30.9,24.6,1.1,83.5,0.0
31.2,24.3,1.2,76.9,0.0
31.4,24.7,1.0,79.3,0.0
30.8,24.4,0.9,81.9,0.0
29.8,23.5,1.2,78.2,0.0
27.7,23.0,1.1,79.4,0.0
29.7,22.7,1.7,80.4,0.0
30.7,23.0,2.1,76.8,0.0
30.5,23.3,1.9,80.5,0.0
29.5,22.9,2.0,79.6,4.9
30.4,22.8,1.9,75.5,0.0
30.2,23.0,1.8,73.1,0.0
30.3,23.3,1.5,77.6,0.0
30.5,23.3,1.8,74.1,0.0
30.9,23.5,1.2,67.8,0.0
30.3,22.8,1.2,75.4,0.0
30.5,22.5,2.0,74.7,0.0
30.7,20.7,1.1,72.8,0.0
30.3,20.5,1.2,72.1,0.0
30.4,20.1,1.6,68.7,0.0
29.6,21.5,1.8,74.0,0.0
29.9,22.4,2.1,72.0,0.0
30.5,23.7,1.9,77.1,0.0
30.9,22.5,1.7,77.3,0.0
30.8,22.5,1.9,74.0,0.0
31.0,22.8,1.7,79.3,0.0
31.1,22.7,1.5,77.0,0.0
31.2,22.4,1.5,70.9,0.0
31.1,23.0,1.8,72.9,0.0
30.9,23.6,1.6,69.0,0.0
30.5,22.8,1.6,68.1,0.0
30.8,21.9,1.5,70.2,0.0
30.1,20.8,1.5,69.5,0.0
30.3,20.8,1.9,73.0,0.0
31.1,20.0,1.8,70.7,0.0
30.9,19.6,1.6,65.7,0.0
30.2,19.9,1.8,68.9,0.0
30.7,23.0,1.6,78.1,0.0
30.7,21.9,1.6,74.2,0.0
30.7,22.4,2.0,69.1,0.0
30.1,21.3,2.1,67.9,0.0
30.3,19.9,1.8,65.8,0.0
30.1,18.9,2.3,65.9,0.0
29.6,18.0,2.0,58.9,0.0
29.5,18.3,1.7,64.5,0.0
29.2,18.4,1.3,65.3,0.0
28.9,19.6,1.6,61.9,0.0
29.6,21.2,1.6,69.2,0.0
29.4,21.6,1.8,66.9,0.0
29.4,20.0,1.9,68.9,0.0
28.7,20.0,1.8,67.9,0.0
29.6,20.2,1.4,65.1,0.0
29.4,19.6,1.4,66.5,0.0
29.6,19.1,1.8,72.2,0.0
30.2,19.6,1.3,67.2,0.0
29.2,20.6,1.2,65.9,0.0
30.2,20.8,1.5,67.4,0.0
29.9,20.4,1.1,69.4,0.0
29.9,20.1,1.7,64.1,0.0
30.5,20.0,1.3,57.5,0.0
29.8,19.0,1.3,62.8,0.0
29.7,19.1,1.5,65.3,0.0
